City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,port alfred,-33.5906,26.891,18.43,97,100,0.89,ZA,1704694297
81,constantia,44.1833,28.65,0.39,81,100,8.55,RO,1704694297
82,westport,41.1415,-73.3579,2.27,82,0,2.06,US,1704694298
83,usakos,-22.0,15.6,24.67,28,73,2.35,NA,1704694300
84,avarua,-21.2078,-159.775,26.03,89,100,4.63,CK,1704694167
85,boguchany,58.3814,97.4531,-18.97,96,95,1.34,RU,1704694301
86,yigou,35.8114,114.3167,7.32,38,35,5.51,CN,1704694302
87,fort smith,35.3859,-94.3986,6.18,70,0,3.09,US,1704694204
88,kodiak,57.79,-152.4072,0.73,75,0,3.09,US,1704694303
89,laguna,38.421,-121.4238,7.28,80,0,2.57,US,1704694304
90,iskateley,67.6803,53.1512,-11.96,95,85,2.23,RU,1704694305
91,sendafa,9.15,39.0333,13.76,60,26,2.09,ET,1704694305
92,likhoslavl',57.1275,35.464,-20.64,90,32,2.49,RU,1704694306
93,tindouf,27.6711,-8.1474,8.25,46,0,2.06,DZ,1704694307
94,pisco,-13.7,-76.2167,21.03,88,100,4.63,PE,1704694308
95,kapa'a,22.0752,-159.319,24.18,84,100,5.66,US,1704694308
96,palmer,42.1584,-72.3287,-1.99,83,100,0.0,US,1704694152
97,tura,25.5198,90.2201,22.9,41,0,2.53,IN,1704694310
98,longyearbyen,78.2186,15.6401,-14.09,66,75,4.63,SJ,1704694311
99,zouerate,22.7187,-12.4521,16.11,47,1,3.11,MR,1704694312
100,alofi,-19.0595,-169.9187,27.18,81,48,3.38,NU,1704694312
101,padre bernardo,-15.35,-48.5,20.73,98,100,0.28,BR,1704694036
102,fayroz koh,34.5195,65.2509,-2.06,81,52,1.49,AF,1704694314
103,reyes,-14.3167,-67.3833,23.53,96,50,0.83,BO,1704694314
104,urzhar,47.093,81.6294,-1.38,98,100,2.11,KZ,1704694315
105,les cayes,18.2,-73.75,23.67,82,6,1.91,HT,1704694316
106,nar'yan-mar,67.6713,53.087,-11.71,95,85,2.28,RU,1704694316
107,akom ii,2.7833,10.5667,22.98,87,88,0.05,CM,1704694317
108,cascais,38.6979,-9.4215,9.73,83,98,3.13,PT,1704694318
109,iqaluit,63.7506,-68.5145,-19.15,71,100,2.06,CA,1704694318
110,tazacorte,28.629,-17.9293,17.86,90,100,2.57,ES,1704694320
111,chu,43.5983,73.7614,5.77,91,100,1.51,KZ,1704694320
112,luderitz,-26.6481,15.1594,18.32,71,55,10.67,NA,1704694321
113,georgetown,5.4112,100.3354,32.96,58,20,1.54,MY,1704694139
114,fort beaufort,-32.7748,26.6338,17.66,86,98,0.75,ZA,1704694322
115,mount isa,-20.7333,139.5,31.87,51,100,6.17,AU,1704694323
116,ochakiv,46.6128,31.5498,3.76,88,100,11.46,UA,1704694324
117,greenville,35.6127,-77.3663,6.18,66,0,0.0,US,1704694108
118,xiva,41.3783,60.3639,2.99,57,21,6.02,UZ,1704694325
119,castanos,26.7833,-101.4167,12.41,70,0,3.3,MX,1704694326
120,kirensk,57.7853,108.1119,-20.58,96,84,1.79,RU,1704694327
121,mandasa,18.8667,84.4667,28.27,37,47,4.76,IN,1704694328
122,inverurie,57.2845,-2.3774,0.36,100,12,1.03,GB,1704694328
123,vila franca do campo,37.7167,-25.4333,14.23,88,47,2.77,PT,1704694329
124,puquio,-14.7,-74.1333,13.67,73,100,1.42,PE,1704694330
125,ushuaia,-54.8,-68.3,2.7,97,97,2.98,AR,1704694331
126,jinghong,21.991,100.7341,27.7,29,7,1.3,CN,1704694331
127,port elizabeth,-33.918,25.5701,18.39,95,100,5.66,ZA,1704694332
128,harper,4.375,-7.7169,26.67,85,13,2.69,LR,1704694333
129,brownfield,33.1812,-102.2744,9.97,78,84,11.56,US,1704694333
130,campos belos,-13.0367,-46.7717,21.28,96,100,0.96,BR,1704694085
131,edinburgh of the seven seas,-37.0676,-12.3116,16.99,80,100,6.45,SH,1704694335
132,port mathurin,-19.6833,63.4167,27.63,69,43,2.97,MU,1704694336
133,guerrero negro,27.9769,-114.0611,14.56,48,38,8.1,MX,1704694337
134,afaahiti,-17.75,-149.2833,24.93,85,53,5.48,PF,1704694338
135,cabo san lucas,22.8909,-109.9124,19.31,63,20,0.45,MX,1704694161
136,jamestown,42.097,-79.2353,1.42,99,100,5.66,US,1704694075
137,la ronge,55.1001,-105.2842,-30.86,69,40,0.0,CA,1704694340
138,port-vila,-17.7338,168.3219,28.78,84,75,2.57,VU,1704694341
139,papatowai,-46.5619,169.4708,16.62,65,97,2.28,NZ,1704694342
140,akureyri,65.6835,-18.0878,7.96,66,20,6.69,IS,1704694342
141,dubbo,-32.25,148.6167,20.07,94,100,2.57,AU,1704694343
142,khanty-mansiysk,61.0042,69.0019,-21.94,71,75,2.0,RU,1704694344
143,olonkinbyen,70.9221,-8.7187,1.94,88,100,9.94,SJ,1704694345
144,saint-joseph,-21.3667,55.6167,28.21,73,43,4.2,RE,1704694345
145,yakymivka,46.6897,35.1536,1.15,84,100,7.1,UA,1704694346
146,altamont,42.2068,-121.7372,-3.67,88,0,0.0,US,1704694347
147,yuzhno-kurilsk,44.0306,145.8556,-1.46,79,60,7.76,RU,1704694348
148,margaret river,-33.95,115.0667,23.63,62,96,7.36,AU,1704694349
149,ammon,43.4696,-111.9666,-10.66,88,20,0.0,US,1704694350
150,beshariq,40.4358,70.6103,8.67,59,97,0.97,UZ,1704694351
151,keflavik,64.0049,-22.5624,8.95,100,100,12.35,IS,1704694351
152,anadyr,64.75,177.4833,-14.72,84,100,7.0,RU,1704694352
153,naze,28.3667,129.4833,13.53,60,87,2.48,JP,1704694353
154,arkhangel'sk,64.5401,40.5433,-11.04,88,100,4.0,RU,1704694354
155,dalai,45.5,124.3,-10.99,81,98,4.06,CN,1704694354
156,waingapu,-9.6567,120.2641,30.35,70,91,3.89,ID,1704694355
157,revda,56.801,59.9303,-24.52,93,100,6.49,RU,1704694356
158,safotu,-13.4513,-172.4018,28.88,80,93,2.38,WS,1704694356
159,tazovsky,67.4667,78.7,-22.26,95,99,4.1,RU,1704694357
160,kalix,65.853,23.1565,-6.34,84,96,2.93,SE,1704694358
161,singkil,-7.9855,111.4161,27.46,79,100,0.31,ID,1704694358
162,riachao,-7.3619,-46.6172,22.33,95,100,0.63,BR,1704694359
163,nikolayevsk-on-amure,53.1406,140.73,-18.96,91,100,1.69,RU,1704694360
164,dudinka,69.4058,86.1778,-20.77,98,100,8.05,RU,1704694360
165,paris,48.8534,2.3488,-0.13,71,100,7.72,FR,1704693908
166,santa cruz,-17.8,-63.1667,23.7,100,68,5.14,BO,1704694362
167,horta,38.5333,-28.6333,15.57,69,86,4.92,PT,1704694362
168,kapuskasing,49.4169,-82.4331,-16.95,84,20,4.63,CA,1704694363
